id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source,ref
3042,ODOP (One District One Product),Bengal Dokra,Bengal Dokra is the ODOP of Purba Bardhaman. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:bengal-dokra
3043,ODOP (One District One Product),Bengal Patachitra,Bengal Patachitra is the ODOP of Paschim Medinipur  (West Medinipur). Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,1,,,,odop,odop:bengal-patachitra
3044,ODOP (One District One Product),Berhampur Patta Saree,Berhampur Patta (Phoda Kumbha) Saree is the ODOP of Boudh. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:berhampur-patta-phoda-kumbha-saree
3045,ODOP (One District One Product),Bhagalpur Silk,Bhagalpur Silk is the ODOP of Bhagalpur. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:bhagalpur-silk
3046,ODOP (One District One Product),Bhoot Jholokia Brand,"Bhoot Jholokia is the ODOP of Jorhat. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,2,,,,odop,odop:bhoot-jholokia
3047,ODOP (One District One Product),Bhujodi Shawl Weaving,Bhujodi Shawl weaving is the ODOP of Kachchh. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:bhujodi-shawl-weaving
3048,ODOP (One District One Product),Bidari Ware,Bidari ware is the ODOP of Bidar. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:bidari-ware
3049,ODOP (One District One Product),Bikaneri Namkeen Brand,"Bikaneri  Namkeen is the ODOP of Bikaner. Buy direct from growers there and sell a processed, branded product.",,healthy-snacks-brand,3,,,,odop,odop:bikaneri-namkeen
3050,ODOP (One District One Product),Bindi,Bindi (Tikuli) is the ODOP of Ballia. Work with its makers and sell their work to city and export buyers.,,jewellery-brand,2,,,,odop,odop:bindi-tikuli
3051,ODOP (One District One Product),Biscuits & Confectionery Brand,"Biscuits & Confectionery is the ODOP of Ranga Reddy. Buy direct from growers there and sell a processed, branded product.",,sweet-shop,3,,,,odop,odop:biscuit-confectionery
3052,ODOP (One District One Product),Black Gram Processing Unit,"Black Gram is the ODOP of Narayanpur. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:black-gram
3053,ODOP (One District One Product),Black Pottery,Black Pottery is the ODOP of Azamgarh. Work with its makers and sell their work to city and export buyers.,,pottery-studio,2,,,,odop,odop:black-pottery
3054,ODOP (One District One Product),Black Rice Processing Unit,"Black Rice is the ODOP of Bilaspur. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:black-rice
3055,ODOP (One District One Product),Bobilli Veena,Bobilli Veena is the ODOP of Parvathipuram Manyam. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:bobilli-veena
3056,ODOP (One District One Product),Bomkai Saree & Fabrics,Bomkai Saree & Fabrics is the ODOP of Sonepur (Subarnapur). Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:bomkai-saree-fabric
3057,ODOP (One District One Product),Brass Artifacts,Brass Artifacts is the ODOP of Jangaon. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:bras-artifact
